ID Number   Direction Changes      Random Motions              Status
185               10001               13327                     Destroyed
186               10001               13342                     Destroyed
187               10001               13439                     Destroyed
188               10001               13383                     Destroyed
189               10001               13376                     Destroyed
190               10001               13362                     Destroyed
191                6094                8117                       Escaped
192               10001               13294                     Destroyed
193                5823                7726                       Escaped
194               10001               13378                     Destroyed
195               10001               13465                     Destroyed
196               10001               13350                     Destroyed
197               10001               13304                     Destroyed
198               10001               13366                     Destroyed
199               10001               13432                     Destroyed
200               10001               13412                     Destroyed
201               10001               13344                     Destroyed
202               10001               13317                     Destroyed
203               10001               13371                     Destroyed
204               10001               13319                     Destroyed
205               10001               13343                     Destroyed
206               10001               13371                     Destroyed
207                9357               12336                       Escaped
208               10001               13342                     Destroyed
209               10001               13501                     Destroyed
210               10001               13322                     Destroyed
211               10001               13312                     Destroyed
212               10001               13349                     Destroyed
213               10001               13328                     Destroyed
214               10001               13399                     Destroyed
215                5993                8131                       Escaped
216               10001               13333                     Destroyed
217                3981                5306                       Escaped
218               10001               13202                     Destroyed
219               10001               13268                     Destroyed
220               10001               13331                     Destroyed
221               10001               13280                     Destroyed
222               10001               13397                     Destroyed
223               10001               13249                     Destroyed
224               10001               13264                     Destroyed
225                3487                4696                       Escaped
226               10001               13378                     Destroyed
227               10001               13338                     Destroyed
228                3948                5310                       Escaped
229               10001               13422                     Destroyed
230               10001               13316                     Destroyed
231               10001               13470                     Destroyed
232               10001               13368                     Destroyed
233               10001               13280                     Destroyed
234               10001               13335                     Destroyed
235               10001               13435                     Destroyed
236                1847                2455                       Escaped
237               10001               13264                     Destroyed
238                6148                8212                       Escaped
239                3547                4802                       Escaped
240               10001               13369                     Destroyed
241               10001               13306                     Destroyed
242               10001               13416                     Destroyed
243               10001               13429                     Destroyed
244               10001               13364                     Destroyed
245               10001               13319                     Destroyed
246               10001               13338                     Destroyed
247                7349                9755                       Escaped
248                7742               10272                       Escaped
249               10001               13231                     Destroyed
250               10001               13438                     Destroyed
251               10001               13404                     Destroyed
252                5900                7959                       Escaped
253                9091               12161                       Escaped
254               10001               13282                     Destroyed
255               10001               13190                     Destroyed
256               10001               13465                     Destroyed
257               10001               13358                     Destroyed
258               10001               13268                     Destroyed
259               10001               13267                     Destroyed
260               10001               13208                     Destroyed
261               10001               13378                     Destroyed
262               10001               13300                     Destroyed
263               10001               13428                     Destroyed
264               10001               13312                     Destroyed
265               10001               13236                     Destroyed
266               10001               13331                     Destroyed
267               10001               13314                     Destroyed
268               10001               13412                     Destroyed
269               10001               13388                     Destroyed
270               10001               13391                     Destroyed
271               10001               13214                     Destroyed
272               10001               13536                     Destroyed
273               10001               13435                     Destroyed
274                8141               10817                       Escaped
275               10001               13216                     Destroyed
276               10001               13341                     Destroyed
277               10001               13334                     Destroyed
278                8492               11303                       Escaped
279               10001               13292                     Destroyed
280               10001               13295                     Destroyed
281                9714               13047                       Escaped
282                3619                4852                       Escaped
283                7733               10296                       Escaped
284                2549                3419                       Escaped
285               10001               13149                     Destroyed
286               10001               13416                     Destroyed
287               10001               13389                     Destroyed
288               10001               13376                     Destroyed
289               10001               13309                     Destroyed
290               10001               13307                     Destroyed
291                1820                2394                       Escaped
292               10001               13317                     Destroyed
293                8380               11261                       Escaped
294               10001               13249                     Destroyed
295               10001               13222                     Destroyed
296               10001               13382                     Destroyed
297                5950                8075                       Escaped
298               10001               13363                     Destroyed
299               10001               13383                     Destroyed
300               10001               13340                     Destroyed
301               10001               13152                     Destroyed
302               10001               13236                     Destroyed
303               10001               13383                     Destroyed
304               10001               13437                     Destroyed
305                6935                9203                       Escaped
306               10001               13297                     Destroyed
307                5852                7694                       Escaped
308               10001               13290                     Destroyed
309                8311               11089                       Escaped
310               10001               13305                     Destroyed
311               10001               13284                     Destroyed
312                1416                1931                       Escaped
313               10001               13405                     Destroyed
314                9910               13288                       Escaped
315               10001               13325                     Destroyed
316                1569                2118                       Escaped
317               10001               13369                     Destroyed
318               10001               13329                     Destroyed
319               10001               13316                     Destroyed
320               10001               13267                     Destroyed
321               10001               13328                     Destroyed
322               10001               13455                     Destroyed
323               10001               13366                     Destroyed
324                8883               11794                       Escaped
325               10001               13347                     Destroyed
326               10001               13309                     Destroyed
327               10001               13318                     Destroyed
328               10001               13407                     Destroyed
329               10001               13351                     Destroyed
330               10001               13284                     Destroyed
331               10001               13325                     Destroyed
332               10001               13314                     Destroyed
333               10001               13224                     Destroyed
334                3490                4630                       Escaped
335                6394                8562                       Escaped
336               10001               13348                     Destroyed
337               10001               13357                     Destroyed
338               10001               13337                     Destroyed
339               10001               13378                     Destroyed
340               10001               13396                     Destroyed
341               10001               13302                     Destroyed
342               10001               13387                     Destroyed
343               10001               13227                     Destroyed
344               10001               13334                     Destroyed
345               10001               13227                     Destroyed
346               10001               13301                     Destroyed
347                5764                7738                       Escaped
348               10001               13232                     Destroyed
349               10001               13406                     Destroyed
350               10001               13293                     Destroyed
351               10001               13317                     Destroyed
352               10001               13378                     Destroyed
353                5761                7576                       Escaped
354               10001               13291                     Destroyed
355               10001               13398                     Destroyed
356               10001               13325                     Destroyed
357               10001               13279                     Destroyed
358               10001               13296                     Destroyed
359               10001               13478                     Destroyed
360                4017                5394                       Escaped
361               10001               13285                     Destroyed
362               10001               13307                     Destroyed
363               10001               13375                     Destroyed
364               10001               13388                     Destroyed
365               10001               13328                     Destroyed
366               10001               13282                     Destroyed
367               10001               13330                     Destroyed
368               10001               13296                     Destroyed
369               10001               13337                     Destroyed
370               10001               13279                     Destroyed
371               10001               13253                     Destroyed
372               10001               13319                     Destroyed
373               10001               13322                     Destroyed
374                2227                2994                       Escaped
375               10001               13382                     Destroyed
376               10001               13404                     Destroyed
377               10001               13295                     Destroyed
378               10001               13363                     Destroyed
379               10001               13292                     Destroyed
380               10001               13379                     Destroyed
381               10001               13334                     Destroyed
382               10001               13300                     Destroyed
383               10001               13214                     Destroyed
384               10001               13321                     Destroyed
385               10001               13398                     Destroyed
386               10001               13279                     Destroyed
387               10001               13374                     Destroyed
388               10001               13366                     Destroyed
389               10001               13422                     Destroyed
390               10001               13371                     Destroyed
391               10001               13382                     Destroyed
392               10001               13328                     Destroyed
393               10001               13415                     Destroyed
394               10001               13223                     Destroyed
395                7581               10240                       Escaped
396               10001               13325                     Destroyed
397               10001               13427                     Destroyed
398               10001               13279                     Destroyed
399               10001               13403                     Destroyed
400               10001               13299                     Destroyed
401               10001               13310                     Destroyed
402               10001               13344                     Destroyed
403               10001               13269                     Destroyed
404                7896               10482                       Escaped
405               10001               13322                     Destroyed
406               10001               13301                     Destroyed
407               10001               13469                     Destroyed
408               10001               13323                     Destroyed
409               10001               13252                     Destroyed
410               10001               13349                     Destroyed
411               10001               13419                     Destroyed
412               10001               13324                     Destroyed
413               10001               13291                     Destroyed
414               10001               13305                     Destroyed
415                8430               11276                       Escaped
416               10001               13400                     Destroyed
417               10001               13290                     Destroyed
418               10001               13436                     Destroyed
419                3830                5104                       Escaped
420               10001               13371                     Destroyed
421               10001               13308                     Destroyed
422               10001               13277                     Destroyed
423               10001               13439                     Destroyed
424                1857                2497                       Escaped
425               10001               13382                     Destroyed
426               10001               13279                     Destroyed
427               10001               13355                     Destroyed
428               10001               13436                     Destroyed
429               10001               13361                     Destroyed
430               10001               13295                     Destroyed
431                3437                4555                       Escaped
432               10001               13290                     Destroyed
433               10001               13436                     Destroyed
434               10001               13315                     Destroyed
435                2994                3990                       Escaped
436               10001               13332                     Destroyed
437                5161                6900                       Escaped
438               10001               13308                     Destroyed
439               10001               13245                     Destroyed
440               10001               13285                     Destroyed
441               10001               13331                     Destroyed
442               10001               13298                     Destroyed
443                5920                7943                       Escaped
444               10001               13393                     Destroyed
445               10001               13432                     Destroyed
446               10001               13411                     Destroyed
447               10001               13304                     Destroyed
448               10001               13191                     Destroyed
449                7397                9762                       Escaped
450                8158               10906                       Escaped
451                2709                3712                       Escaped
452               10001               13349                     Destroyed
453               10001               13364                     Destroyed
454                7665               10181                       Escaped
455               10001               13267                     Destroyed
456               10001               13244                     Destroyed
457               10001               13321                     Destroyed
458               10001               13291                     Destroyed
459               10001               13478                     Destroyed
460               10001               13303                     Destroyed
461               10001               13363                     Destroyed
462               10001               13317                     Destroyed
463               10001               13404                     Destroyed
464               10001               13444                     Destroyed
465               10001               13234                     Destroyed
466               10001               13537                     Destroyed
467               10001               13278                     Destroyed
468               10001               13403                     Destroyed
469               10001               13311                     Destroyed
470               10001               13398                     Destroyed
471               10001               13347                     Destroyed
472               10001               13333                     Destroyed
473               10001               13329                     Destroyed
474               10001               13309                     Destroyed
475               10001               13255                     Destroyed
476               10001               13376                     Destroyed
477               10001               13275                     Destroyed
478               10001               13417                     Destroyed
479               10001               13412                     Destroyed
480               10001               13268                     Destroyed
481                6465                8554                       Escaped
482               10001               13255                     Destroyed
483                7209                9548                       Escaped
484               10001               13312                     Destroyed
485               10001               13245                     Destroyed
486               10001               13364                     Destroyed
487               10001               13236                     Destroyed
488               10001               13314                     Destroyed
489               10001               13302                     Destroyed
490               10001               13327                     Destroyed
491               10001               13286                     Destroyed
492                5445                7271                       Escaped
493               10001               13311                     Destroyed
494               10001               13279                     Destroyed
495               10001               13409                     Destroyed
496                4566                6073                       Escaped
497               10001               13295                     Destroyed
498               10001               13270                     Destroyed
499                7070                9374                       Escaped
500               10001               13275                     Destroyed
